Molecule: ./Results/normal_sim_a1.txt 
Step: ['change type'], Previous ligand: c1ccccc1, Changed ligand: c1ccncc1, New ligand: c1ccncc1 
Step: ['remove'], Previous ligand: c1ccncc1, Changed ligand: C1=CCNC1, New ligand: c1ccncc1 
Step: ['add'], Previous ligand: c1ccncc1, Changed ligand: CCCc1cccnc1, New ligand: CCCc1cccnc1 
Step: ['add'], Previous ligand: CCCc1cccnc1, Changed ligand: CCCc1cccnc1S, New ligand: CCCc1cccnc1S 
Step: ['add'], Previous ligand: CCCc1cccnc1S, Changed ligand: O=CCCc1cccnc1S, New ligand: CCCc1cccnc1S 
Step: ['add'], Previous ligand: CCCc1cccnc1S, Changed ligand: CCC(C)c1cccnc1S, New ligand: CCC(C)c1cccnc1S 
Step: ['add'], Previous ligand: CCC(C)c1cccnc1S, Changed ligand: CCC(C)c1cc(O)cnc1S, New ligand: CCC(C)c1cccnc1S 
Step: ['remove'], Previous ligand: CCC(C)c1cccnc1S, Changed ligand: CCC(C)c1cc[nH]c1S, New ligand: CCC(C)c1cccnc1S 
Step: ['remove'], Previous ligand: CCC(C)c1cccnc1S, Changed ligand: CC(C)c1cccnc1S, New ligand: CCC(C)c1cccnc1S 
Step: ['remove ring'], Previous ligand: CCC(C)c1cccnc1S, Changed ligand: CCCC(C(N)S)C(C)CC, New ligand: CCC(C)c1cccnc1S 
Step: ['add'], Previous ligand: CCC(C)c1cccnc1S, Changed ligand: CCC(C)=C1C=CC=NC1(C)S, New ligand: CCC(C)c1cccnc1S 
Step: ['move_junction'], Previous ligand: CCC(C)c1cccnc1S, Changed ligand: CCCCc1cccnc1S, New ligand: CCCCc1cccnc1S 
Step: ['remove'], Previous ligand: CCCCc1cccnc1S, Changed ligand: CCCCc1cc[nH]c1S, New ligand: CCCCc1cccnc1S 
Step: ['remove'], Previous ligand: CCCCc1cccnc1S, Changed ligand: CCCc1cccnc1S, New ligand: CCCCc1cccnc1S 
Step: ['turn ring aromatic'], Previous ligand: CCCCc1cccnc1S, Changed ligand: CCCCC1CCCNC1S, New ligand: CCCCc1cccnc1S 
Step: ['add'], Previous ligand: CCCCc1cccnc1S, Changed ligand: CCCC(CC)Cc1cccnc1S, New ligand: CCCC(CC)Cc1cccnc1S 
Step: ['move_junction'], Previous ligand: CCCC(CC)Cc1cccnc1S, Changed ligand: CCCCCc1cc(CC)cnc1S, New ligand: CCCC(CC)Cc1cccnc1S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccnc1S, Changed ligand: CCC(CC)Cc1cccnc1S, New ligand: CCCC(CC)Cc1cccnc1S 
Step: ['turn ring aromatic'], Previous ligand: CCCC(CC)Cc1cccnc1S, Changed ligand: CCCC(CC)CC1CCCNC1S, New ligand: CCCC(CC)Cc1cccnc1S 
Step: ['move_junction'], Previous ligand: CCCC(CC)Cc1cccnc1S, Changed ligand: CCCCC(CC)c1cccnc1S, New ligand: CCCC(CC)Cc1cccnc1S 
Step: ['add'], Previous ligand: CCCC(CC)Cc1cccnc1S, Changed ligand: CCCC(CC)C(CC)Cc1cccnc1S, New ligand: CCCC(CC)Cc1cccnc1S 
Step: ['add'], Previous ligand: CCCC(CC)Cc1cccnc1S, Changed ligand: CCCC(CC)Cc1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['add'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)Cc1cccn(O)c1=[SH]S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['add'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)Cc1cc(O)cn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)c1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['change type'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCC(CCP)Cc1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(C)Cc1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['switch'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)Cc1cccn(CO)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCC(CC)Cc1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)CC1=CC[N+]([O-])=C1S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['add'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)C(C)c1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)Cc1ccn(O)c1S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)CC1=C(S)N(O)CC1, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['move_junction'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCCC(C)Cc1cccn(O)c1=S, New ligand: CCCCC(C)Cc1cccn(O)c1=S 
Step: ['move_junction'], Previous ligand: CCCCC(C)Cc1cccn(O)c1=S, Changed ligand: CCCCC(C)Cc1ccc(=S)n(O)c1, New ligand: CCCCC(C)Cc1cccn(O)c1=S 
Step: ['change bond type'], Previous ligand: CCCCC(C)Cc1cccn(O)c1=S, Changed ligand: CCCCC(C)Cc1cccn(O)c1=S, New ligand: CCCCC(C)Cc1cccn(O)c1=S 
Step: ['add'], Previous ligand: CCCCC(C)Cc1cccn(O)c1=S, Changed ligand: CCCCC(C)Cc1ccc(S)n(O)c1=S, New ligand: CCCCC(C)Cc1cccn(O)c1=S 
Step: ['move_junction'], Previous ligand: CCCCC(C)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)Cc1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)Cc1ccn(O)c1S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['move_junction'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCCCc1c(CC)ccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
