Molecule: ./Results/normal_sim_a2.txt 
Step: ['turn ring aromatic'], Previous ligand: c1ccccc1, Changed ligand: C1CCCCC1, New ligand: C1CCCCC1 
Step: ['remove'], Previous ligand: C1CCCCC1, Changed ligand: C1CCCC1, New ligand: C1CCCCC1 
Step: ['add'], Previous ligand: C1CCCCC1, Changed ligand: PC1CCCCC1, New ligand: PC1CCCCC1 
Step: ['add'], Previous ligand: PC1CCCCC1, Changed ligand: PC1(S)CCCCC1, New ligand: PC1(S)CCCCC1 
Step: ['add'], Previous ligand: PC1(S)CCCCC1, Changed ligand: P=C1CCC(P)(S)CC1, New ligand: PC1(S)CCCCC1 
Step: ['form new ring'], Previous ligand: PC1(S)CCCCC1, Changed ligand: PC1(S)CCCCC1, New ligand: PC1(S)CCCCC1 
Step: ['add'], Previous ligand: PC1(S)CCCCC1, Changed ligand: C=C1CCCCC1(P)S, New ligand: C=C1CCCCC1(P)S 
Step: ['turn ring aromatic'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: C=C1:C:C:C:C:C:1(P)S, New ligand: C=C1CCCCC1(P)S 
Step: ['add'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: OC=C1CCCCC1(P)S, New ligand: C=C1CCCCC1(P)S 
Step: ['change type'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: C=C1CCCCC1(P)S, New ligand: C=C1CCCCC1(P)S 
Step: ['move_junction'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: C=C1CC(P)CCC1S, New ligand: C=C1CCCCC1(P)S 
Step: ['turn ring aromatic'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: C=C1:C:C:C:C:C:1(P)S, New ligand: C=C1CCCCC1(P)S 
Step: ['change bond type'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: C=C1CCCCC1(P)S, New ligand: C=C1CCCCC1(P)S 
Step: ['add'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: C=C1C(C)CCCC1(P)S, New ligand: C=C1CCCCC1(P)S 
Step: ['remove'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: C=C1CCCC1(P)S, New ligand: C=C1CCCCC1(P)S 
Step: ['remove'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: C=C1CCCC1(P)S, New ligand: C=C1CCCCC1(P)S 
Step: ['add'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: C=C1CCC(S)CC1(P)S, New ligand: C=C1CCCCC1(P)S 
Step: ['move_junction'], Previous ligand: C=C1CCCCC1(P)S, Changed ligand: C=C1CCCCC1SP, New ligand: C=C1CCCCC1SP 
Step: ['add'], Previous ligand: C=C1CCCCC1SP, Changed ligand: C=C1CC(N)CCC1SP, New ligand: C=C1CC(N)CCC1SP 
Step: ['remove'], Previous ligand: C=C1CC(N)CCC1SP, Changed ligand: C=C1CC(N)CC1SP, New ligand: C=C1CC(N)CCC1SP 
Step: ['switch'], Previous ligand: C=C1CC(N)CCC1SP, Changed ligand: C=C1CC(N)CCC1SCP, New ligand: C=C1CC(N)CCC1SP 
Step: ['add'], Previous ligand: C=C1CC(N)CCC1SP, Changed ligand: C=C1CC(NN)CCC1SP, New ligand: C=C1CC(NN)CCC1SP 
Step: ['move_junction'], Previous ligand: C=C1CC(NN)CCC1SP, Changed ligand: C=C1CCC(NN)CC1SP, New ligand: C=C1CCC(NN)CC1SP 
Step: ['switch'], Previous ligand: C=C1CCC(NN)CC1SP, Changed ligand: CC1CCC(NN)CC(SP)N1, New ligand: C=C1CCC(NN)CC1SP 
Step: ['add'], Previous ligand: C=C1CCC(NN)CC1SP, Changed ligand: C=C1CCC(O)(NN)CC1SP, New ligand: C=C1CCC(NN)CC1SP 
Step: ['change type'], Previous ligand: C=C1CCC(NN)CC1SP, Changed ligand: C=[PH]1CCC(NN)CC1SP, New ligand: C=C1CCC(NN)CC1SP 
Step: ['add'], Previous ligand: C=C1CCC(NN)CC1SP, Changed ligand: CCC=C=C1CCC(NN)CC1SP, New ligand: C=C1CCC(NN)CC1SP 
Step: ['switch'], Previous ligand: C=C1CCC(NN)CC1SP, Changed ligand: C=C1CCC(NN)CC1SCP, New ligand: C=C1CCC(NN)CC1SP 
Step: ['change type'], Previous ligand: C=C1CCC(NN)CC1SP, Changed ligand: C=C1CCC(NN)CN1SP, New ligand: C=C1CCC(NN)CN1SP 
Step: ['turn ring aromatic'], Previous ligand: C=C1CCC(NN)CN1SP, Changed ligand: C=C1:C:C:C(NN):C:N:1SP, New ligand: C=C1:C:C:C(NN):C:N:1SP 
Step: ['move_junction'], Previous ligand: C=C1:C:C:C(NN):C:N:1SP, Changed ligand: C=C1:C(NN):C:C:C:N:1SP, New ligand: C=C1:C:C:C(NN):C:N:1SP 
Step: ['change type'], Previous ligand: C=C1:C:C:C(NN):C:N:1SP, Changed ligand: C=C1C=CC(NN)=NN1SP, New ligand: C=C1C=CC(NN)=NN1SP 
Step: ['move_junction'], Previous ligand: C=C1C=CC(NN)=NN1SP, Changed ligand: C=C1C=CC(NN)=NN1SP, New ligand: C=C1C=CC(NN)=NN1SP 
Step: ['turn ring aromatic'], Previous ligand: C=C1C=CC(NN)=NN1SP, Changed ligand: C=C1:C:C:C(NN):N:N:1SP, New ligand: C=C1:C:C:C(NN):N:N:1SP 
Step: ['add'], Previous ligand: C=C1:C:C:C(NN):N:N:1SP, Changed ligand: C=C1:C:C:C(N(N)CCC):N:N:1SP, New ligand: C=C1:C:C:C(N(N)CCC):N:N:1SP 
Step: ['change type'], Previous ligand: C=C1:C:C:C(N(N)CCC):N:N:1SP, Changed ligand: C=C1C=CC(P(N)CCC)=NN1SP, New ligand: C=C1:C:C:C(N(N)CCC):N:N:1SP 
Step: ['remove'], Previous ligand: C=C1:C:C:C(N(N)CCC):N:N:1SP, Changed ligand: C=C1:C:C:C(NCCC):N:N:1SP, New ligand: C=C1:C:C:C(NCCC):N:N:1SP 
Step: ['turn ring aromatic'], Previous ligand: C=C1:C:C:C(NCCC):N:N:1SP, Changed ligand: C=C1:C:C:C(NCCC):N:N:1SP, New ligand: C=C1:C:C:C(NCCC):N:N:1SP 
Step: ['remove'], Previous ligand: C=C1:C:C:C(NCCC):N:N:1SP, Changed ligand: C=C1:C:C:C(CCC):N:N:1SP, New ligand: C=C1:C:C:C(CCC):N:N:1SP 
Step: ['add'], Previous ligand: C=C1:C:C:C(CCC):N:N:1SP, Changed ligand: C=C1:C:C:C(CCC):N:N:1SPP, New ligand: C=C1:C:C:C(CCC):N:N:1SP 
Step: ['change type'], Previous ligand: C=C1:C:C:C(CCC):N:N:1SP, Changed ligand: C=C1C=CC(CCC)=NN1NP, New ligand: C=C1C=CC(CCC)=NN1NP 
Step: ['switch'], Previous ligand: C=C1C=CC(CCC)=NN1NP, Changed ligand: CCCC1=NCN(NP)C(C)C=C1, New ligand: C=C1C=CC(CCC)=NN1NP 
Step: ['switch'], Previous ligand: C=C1C=CC(CCC)=NN1NP, Changed ligand: CCCC1=NN(NP)C(NC)C=C1, New ligand: C=C1C=CC(CCC)=NN1NP 
Step: ['remove'], Previous ligand: C=C1C=CC(CCC)=NN1NP, Changed ligand: C=C1C=CC(CCC)=NN1N, New ligand: C=C1C=CC(CCC)=NN1N 
Step: ['add'], Previous ligand: C=C1C=CC(CCC)=NN1N, Changed ligand: CC=C1C=CC(CCC)=NN1N, New ligand: C=C1C=CC(CCC)=NN1N 
Step: ['remove'], Previous ligand: C=C1C=CC(CCC)=NN1N, Changed ligand: C=C1CC(CCC)=NN1N, New ligand: C=C1C=CC(CCC)=NN1N 
Step: ['add'], Previous ligand: C=C1C=CC(CCC)=NN1N, Changed ligand: C=C1C=C(C)C(CCC)=NN1N, New ligand: C=C1C=CC(CCC)=NN1N 
Step: ['change type'], Previous ligand: C=C1C=CC(CCC)=NN1N, Changed ligand: C=C1C=CC(CCO)=NN1N, New ligand: C=C1C=CC(CCC)=NN1N 
Step: ['add'], Previous ligand: C=C1C=CC(CCC)=NN1N, Changed ligand: C=C1C=CC(C(C)CC)=NN1N, New ligand: C=C1C=CC(CCC)=NN1N 
Step: ['move_junction'], Previous ligand: C=C1C=CC(CCC)=NN1N, Changed ligand: C=C1C=CC(C(N)CC)=NN1, New ligand: C=C1C=CC(CCC)=NN1N 
Step: ['remove'], Previous ligand: C=C1C=CC(CCC)=NN1N, Changed ligand: C=C1C=CC(CCC)=NN1, New ligand: C=C1C=CC(CCC)=NN1 
Step: ['change type'], Previous ligand: C=C1C=CC(CCC)=NN1, Changed ligand: C=C1C=PC(CCC)=NN1, New ligand: C=C1C=CC(CCC)=NN1 
Step: ['add'], Previous ligand: C=C1C=CC(CCC)=NN1, Changed ligand: CCCC=C1C=CC(CCC)=NN1, New ligand: C=C1C=CC(CCC)=NN1 
Step: ['remove'], Previous ligand: C=C1C=CC(CCC)=NN1, Changed ligand: C=C1C=CC(CCC)=N1, New ligand: C=C1C=CC(CCC)=NN1 
Step: ['switch'], Previous ligand: C=C1C=CC(CCC)=NN1, Changed ligand: CCCC1=NNCC(C)C=C1, New ligand: C=C1C=CC(CCC)=NN1 
Step: ['add'], Previous ligand: C=C1C=CC(CCC)=NN1, Changed ligand: C=C1NN=C(CCC)C=C1N, New ligand: C=C1NN=C(CCC)C=C1N 
Step: ['change type'], Previous ligand: C=C1NN=C(CCC)C=C1N, Changed ligand: C=C1NN=C(CCC)C=C1F, New ligand: C=C1NN=C(CCC)C=C1F 
Step: ['change bond type'], Previous ligand: C=C1NN=C(CCC)C=C1F, Changed ligand: C=C1NN=C(CCC)C=C1F, New ligand: C=C1NN=C(CCC)C=C1F 
Step: ['form new ring'], Previous ligand: C=C1NN=C(CCC)C=C1F, Changed ligand: C=C1NN=C2CCCC2=C1F, New ligand: C=C1NN=C2CCCC2=C1F 
Step: ['remove ring'], Previous ligand: C=C1NN=C2CCCC2=C1F, Changed ligand: CCNNC1CCCC1CF, New ligand: C=C1NN=C2CCCC2=C1F 
Step: ['change type'], Previous ligand: C=C1NN=C2CCCC2=C1F, Changed ligand: C=C1NN=C2CCCC2=C1F, New ligand: C=C1NN=C2CCCC2=C1F 
Step: ['remove'], Previous ligand: C=C1NN=C2CCCC2=C1F, Changed ligand: FC1=C2CCCC2=NNC1, New ligand: C=C1NN=C2CCCC2=C1F 
Step: ['remove ring'], Previous ligand: C=C1NN=C2CCCC2=C1F, Changed ligand: CC(CF)NNC1CCCC1, New ligand: C=C1NN=C2CCCC2=C1F 
Step: ['change type'], Previous ligand: C=C1NN=C2CCCC2=C1F, Changed ligand: C=C1NN=C2CCCC2=C1F, New ligand: C=C1NN=C2CCCC2=C1F 
Step: ['remove ring'], Previous ligand: C=C1NN=C2CCCC2=C1F, Changed ligand: CC(N)C(F)C1CCCC1N, New ligand: C=C1NN=C2CCCC2=C1F 
Step: ['switch'], Previous ligand: C=C1NN=C2CCCC2=C1F, Changed ligand: CC1NN=C2CCCC2=C1CF, New ligand: CC1NN=C2CCCC2=C1CF 
Step: ['turn ring aromatic'], Previous ligand: CC1NN=C2CCCC2=C1CF, Changed ligand: CC1:N:N:C2:C(:C:1CF)CCC2, New ligand: CC1:N:N:C2:C(:C:1CF)CCC2 
Step: ['remove'], Previous ligand: CC1:N:N:C2:C(:C:1CF)CCC2, Changed ligand: FCC1:C:N:N:C2:C:1CCC2, New ligand: CC1:N:N:C2:C(:C:1CF)CCC2 
