Molecule: ./Results/serine/a5.txt 
Step1: ['add'], Previous ligand: c1ccccc1, Changed ligand: Oc1ccccc1, New ligand: Oc1ccccc1 Score: tensor([0.5001])
Step2: ['add'], Previous ligand: Oc1ccccc1, Changed ligand: Cc1cccc(O)c1, New ligand: Cc1cccc(O)c1 Score: tensor([0.5389])
Step3: ['remove'], Previous ligand: Cc1cccc(O)c1, Changed ligand: Cc1ccccc1, New ligand: Cc1cccc(O)c1 Score: tensor([0.5389])
Step4: ['add'], Previous ligand: Cc1cccc(O)c1, Changed ligand: Cc1cc(O)cc(O)c1, New ligand: Cc1cc(O)cc(O)c1 Score: tensor([0.5264])
Step5: ['remove ring'], Previous ligand: Cc1cc(O)cc(O)c1, Changed ligand: CCCC(O)CC(C)O, New ligand: Cc1cc(O)cc(O)c1 Score: tensor([0.5264])
Step6: ['switch'], Previous ligand: Cc1cc(O)cc(O)c1, Changed ligand: CC1=CC(O)=CCC(O)=C1, New ligand: CC1=CC(O)=CCC(O)=C1 Score: tensor([0.5413])
Step7: ['switch'], Previous ligand: CC1=CC(O)=CCC(O)=C1, Changed ligand: CC1=CC(O)=CCC(O)=C1, New ligand: CC1=CC(O)=CCC(O)=C1 Score: tensor([0.5420])
Step8: ['remove'], Previous ligand: CC1=CC(O)=CCC(O)=C1, Changed ligand: Cc1cc(O)cc(O)c1, New ligand: Cc1cc(O)cc(O)c1 Score: tensor([0.5258])
Step9: ['remove'], Previous ligand: Cc1cc(O)cc(O)c1, Changed ligand: Oc1cccc(O)c1, New ligand: Oc1cccc(O)c1 Score: tensor([0.5288])
Step10: ['change bond type'], Previous ligand: Oc1cccc(O)c1, Changed ligand: Oc1cccc(O)c1, New ligand: Oc1cccc(O)c1 Score: tensor([0.5288])
Step11: ['remove'], Previous ligand: Oc1cccc(O)c1, Changed ligand: OC1=CC=C(O)C1, New ligand: Oc1cccc(O)c1 Score: tensor([0.5288])
Step12: ['remove ring'], Previous ligand: Oc1cccc(O)c1, Changed ligand: CC(O)CCCCO, New ligand: Oc1cccc(O)c1 Score: tensor([0.5288])
Step13: ['remove'], Previous ligand: Oc1cccc(O)c1, Changed ligand: Oc1ccccc1, New ligand: Oc1cccc(O)c1 Score: tensor([0.5288])
Step14: ['turn ring aromatic'], Previous ligand: Oc1cccc(O)c1, Changed ligand: OC1CCCC(O)C1, New ligand: Oc1cccc(O)c1 Score: tensor([0.5288])
Step15: ['add'], Previous ligand: Oc1cccc(O)c1, Changed ligand: CCCc1c(O)cccc1O, New ligand: CCCc1c(O)cccc1O Score: tensor([0.6641])
Step16: ['remove ring'], Previous ligand: CCCc1c(O)cccc1O, Changed ligand: CCCC(C(C)O)C(O)CC, New ligand: CCCc1c(O)cccc1O Score: tensor([0.6641])
Step17: ['move_junction'], Previous ligand: CCCc1c(O)cccc1O, Changed ligand: CCCc1ccccc1OO, New ligand: CCCc1ccccc1OO Score: tensor([0.6587])
Step18: ['change type'], Previous ligand: CCCc1ccccc1OO, Changed ligand: CCCc1ccncc1OO, New ligand: CCCc1ccccc1OO Score: tensor([0.6587])
Step19: ['add'], Previous ligand: CCCc1ccccc1OO, Changed ligand: CC(=P)Cc1ccccc1OO, New ligand: CCCc1ccccc1OO Score: tensor([0.6587])
Step20: ['change bond type'], Previous ligand: CCCc1ccccc1OO, Changed ligand: CCCc1ccccc1OO, New ligand: CCCc1ccccc1OO Score: tensor([0.6589])
Step21: ['add'], Previous ligand: CCCc1ccccc1OO, Changed ligand: CCC(N)c1ccccc1OO, New ligand: CCCc1ccccc1OO Score: tensor([0.6589])
Step22: ['remove'], Previous ligand: CCCc1ccccc1OO, Changed ligand: CCCc1ccccc1O, New ligand: CCCc1ccccc1OO Score: tensor([0.6589])
Step23: ['switch'], Previous ligand: CCCc1ccccc1OO, Changed ligand: CCCC1=C(OO)C=COC=C1, New ligand: CCCc1ccccc1OO Score: tensor([0.6589])
Step24: ['add'], Previous ligand: CCCc1ccccc1OO, Changed ligand: CCCc1ccccc1OOC, New ligand: CCCc1ccccc1OOC Score: tensor([0.6764])
