Molecule: ./Results/normal_sim_a1.txt 
Step: ['add'], Previous ligand: c1ccccc1, Changed ligand: Pc1ccccc1, New ligand: Pc1ccccc1 
Step: ['change type'], Previous ligand: Pc1ccccc1, Changed ligand: PC1=CSCC=C1, New ligand: Pc1ccccc1 
Step: ['form new ring'], Previous ligand: Pc1ccccc1, Changed ligand: Pc1ccccc1, New ligand: Pc1ccccc1 
Step: ['add'], Previous ligand: Pc1ccccc1, Changed ligand: Cc1cccc(P)c1, New ligand: Cc1cccc(P)c1 
Step: ['remove ring'], Previous ligand: Cc1cccc(P)c1, Changed ligand: CCC(P)CC(C)C, New ligand: Cc1cccc(P)c1 
Step: ['move_junction'], Previous ligand: Cc1cccc(P)c1, Changed ligand: Cc1cccc(P)c1, New ligand: Cc1cccc(P)c1 
Step: ['remove'], Previous ligand: Cc1cccc(P)c1, Changed ligand: Cc1ccccc1, New ligand: Cc1cccc(P)c1 
Step: ['add'], Previous ligand: Cc1cccc(P)c1, Changed ligand: CCCc1ccc(P)cc1C, New ligand: CCCc1ccc(P)cc1C 
Step: ['move_junction'], Previous ligand: CCCc1ccc(P)cc1C, Changed ligand: CCCc1ccc(P)cc1C, New ligand: CCCc1ccc(P)cc1C 
Step: ['add'], Previous ligand: CCCc1ccc(P)cc1C, Changed ligand: C=c1cc(P)c(CCC)cc1=CCC, New ligand: C=c1cc(P)c(CCC)cc1=CCC 
Step: ['remove'], Previous ligand: C=c1cc(P)c(CCC)cc1=CCC, Changed ligand: C=c1cc(P)c(CC)cc1=CCC, New ligand: C=c1cc(P)c(CC)cc1=CCC 
Step: ['add'], Previous ligand: C=c1cc(P)c(CC)cc1=CCC, Changed ligand: C=c1cc(P)c(CC)cc1=CCC=CCC, New ligand: C=c1cc(P)c(CC)cc1=CCC=CCC 
Step: ['add'], Previous ligand: C=c1cc(P)c(CC)cc1=CCC=CCC, Changed ligand: C=c1cc(P)c(CC)cc1=CCC=CCC=N, New ligand: C=c1cc(P)c(CC)cc1=CCC=CCC=N 
Step: ['remove'], Previous ligand: C=c1cc(P)c(CC)cc1=CCC=CCC=N, Changed ligand: C=c1cc(P)c(CC)cc1=CCCCC=N, New ligand: C=c1cc(P)c(CC)cc1=CCCCC=N 
Step: ['switch'], Previous ligand: C=c1cc(P)c(CC)cc1=CCCCC=N, Changed ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, New ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N 
Step: ['add'], Previous ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1cc(P)c(CC)cc1=CCCCOC=NN, New ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N 
Step: ['add'], Previous ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1cc(P)c(CC)cc1=CC(C)CCOC=N, New ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N 
Step: ['remove'], Previous ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1ccc(CC)cc1=CCCCOC=N, New ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N 
Step: ['remove'], Previous ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1cc(P)c(CC)cc1=CCCOC=N, New ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N 
Step: ['turn ring aromatic'], Previous ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, Changed ligand: C=C1CC(P)C(CC)CC1=CCCCOC=N, New ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N 
Step: ['move_junction'], Previous ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, Changed ligand: CCC=c1cc(P)ccc1=CCCCOC=N, New ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N 
Step: ['change type'], Previous ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1cc(P)c(CC)cc1=CCOCOC=N, New ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N 
Step: ['move_junction'], Previous ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, New ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N 
Step: ['add'], Previous ligand: C=c1cc(P)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N, New ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N 
Step: ['move_junction'], Previous ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N, New ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N 
Step: ['switch'], Previous ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N, Changed ligand: CCC1=CNC(CCCCOC=N)C(C)C=C1PS, New ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N 
Step: ['remove ring'], Previous ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N, Changed ligand: CCCC(PS)C(CC)CCCCCCOCN, New ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N 
Step: ['add'], Previous ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N, Changed ligand: C=C(C=c1cc(CC)c(PS)cc1=C)CCOC=N, New ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N 
Step: ['move_junction'], Previous ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1ccc(CC)cc1=C(CCCOC=N)PS, New ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N 
Step: ['remove'], Previous ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1cc(PS)c(CC)cc1=CCCOC=N, New ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N 
Step: ['switch'], Previous ligand: C=c1cc(PS)c(CC)cc1=CCCCOC=N, Changed ligand: C=c1cc(PS)c(CC)cc1=CCCCCOC=N, New ligand: C=c1cc(PS)c(CC)cc1=CCCCCOC=N 
Step: ['remove'], Previous ligand: C=c1cc(PS)c(CC)cc1=CCCCCOC=N, Changed ligand: C=c1cc(PS)c(C)cc1=CCCCCOC=N, New ligand: C=c1cc(PS)c(C)cc1=CCCCCOC=N 
Step: ['add'], Previous ligand: C=c1cc(PS)c(C)cc1=CCCCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N 
Step: ['add'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=NS, New ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N 
Step: ['change type'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(C)c1=CCCOCOC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N 
Step: ['add'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N 
Step: ['remove ring'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N, Changed ligand: CCC(CC(C)C(CC)CC(O)CCCOCN)PS, New ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N 
Step: ['switch'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N, Changed ligand: Cc1cc(N=PS)c(C)c(C)c1CC(=O)CCCOC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N 
Step: ['switch'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(OC)c1=CC(=O)CCCOC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N 
Step: ['move_junction'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(C)c1=CCCCC(=O)OC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CCCCC(=O)OC=N 
Step: ['add'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CCCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC=N 
Step: ['add'], Previous ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC(=N)S, New ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC=N 
Step: ['switch'], Previous ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCCC(=O)OC=N 
Step: ['add'], Previous ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CC(CCC)CC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCCC(=O)OC=N 
