Molecule: ./Results/normal_sim_a2.txt 
Step: ['add'], Previous ligand: c1ccccc1, Changed ligand: Cc1ccccc1, New ligand: Cc1ccccc1 
Step: ['add'], Previous ligand: Cc1ccccc1, Changed ligand: Cc1ccccc1S, New ligand: Cc1ccccc1S 
Step: ['add'], Previous ligand: Cc1ccccc1S, Changed ligand: CC1(S)C=CC=CC1=S, New ligand: Cc1ccccc1S 
Step: ['add'], Previous ligand: Cc1ccccc1S, Changed ligand: CC1(N)C=CC=CC1=S, New ligand: Cc1ccccc1S 
Step: ['switch'], Previous ligand: Cc1ccccc1S, Changed ligand: CC1=CC=CC=C(S)C1, New ligand: CC1=CC=CC=C(S)C1 
Step: ['add'], Previous ligand: CC1=CC=CC=C(S)C1, Changed ligand: CC1=CC=CC(S)=C(S)C1, New ligand: CC1=CC=CC(S)=C(S)C1 
Step: ['add'], Previous ligand: CC1=CC=CC(S)=C(S)C1, Changed ligand: CC1=C(C)CC(S)=C(S)C=C1, New ligand: CC1=C(C)CC(S)=C(S)C=C1 
Step: ['switch'], Previous ligand: CC1=C(C)CC(S)=C(S)C=C1, Changed ligand: CC1=C(C)CC(S)=C(CS)C=C1, New ligand: CC1=C(C)CC(S)=C(CS)C=C1 
Step: ['change type'], Previous ligand: CC1=C(C)CC(S)=C(CS)C=C1, Changed ligand: CC1=C(F)C=CC(CS)=C(S)C1, New ligand: CC1=C(F)C=CC(CS)=C(S)C1 
Step: ['change type'], Previous ligand: CC1=C(F)C=CC(CS)=C(S)C1, Changed ligand: CC1=C(F)C=CC(CS)=C(S)S1, New ligand: CC1=C(F)C=CC(CS)=C(S)C1 
Step: ['move_junction'], Previous ligand: CC1=C(F)C=CC(CS)=C(S)C1, Changed ligand: CC1=C(F)C=CC(CS)=C(S)C1, New ligand: CC1=C(F)C=CC(CS)=C(S)C1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(CS)=C(S)C1, Changed ligand: CC1=C(F)C=CC(CSS)=C(S)C1, New ligand: CC1=C(F)C=CC(CSS)=C(S)C1 
Step: ['remove'], Previous ligand: CC1=C(F)C=CC(CSS)=C(S)C1, Changed ligand: FC1=CCC(S)=C(CSS)C=C1, New ligand: CC1=C(F)C=CC(CSS)=C(S)C1 
Step: ['remove'], Previous ligand: CC1=C(F)C=CC(CSS)=C(S)C1, Changed ligand: CC1=C(F)C=CC(CSS)=CC1, New ligand: CC1=C(F)C=CC(CSS)=CC1 
Step: ['change type'], Previous ligand: CC1=C(F)C=CC(CSS)=CC1, Changed ligand: CC1=C(F)P=CC(CSS)=CC1, New ligand: CC1=C(F)C=CC(CSS)=CC1 
Step: ['switch'], Previous ligand: CC1=C(F)C=CC(CSS)=CC1, Changed ligand: CC1=C(CF)C=CC(CSS)=CC1, New ligand: CC1=C(F)C=CC(CSS)=CC1 
Step: ['move_junction'], Previous ligand: CC1=C(F)C=CC(CSS)=CC1, Changed ligand: CC1=CC=C(F)C(CSS)=CC1, New ligand: CC1=C(F)C=CC(CSS)=CC1 
Step: ['move_junction'], Previous ligand: CC1=C(F)C=CC(CSS)=CC1, Changed ligand: CC1=C(F)C(CSS)=CC=CC1, New ligand: CC1=C(F)C=CC(CSS)=CC1 
Step: ['remove'], Previous ligand: CC1=C(F)C=CC(CSS)=CC1, Changed ligand: CC1=C(F)CC(CSS)=CC1, New ligand: CC1=C(F)C=CC(CSS)=CC1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(CSS)=CC1, Changed ligand: CC1=CC(CSS)=CCC(C)=C1F, New ligand: CC1=C(F)C=CC(CSS)=CC1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(CSS)=CC1, Changed ligand: CC1=C(F)C=CC(CS[SH]=N)=CC1, New ligand: CC1=C(F)C=CC(CS[SH]=N)=CC1 
Step: ['switch'], Previous ligand: CC1=C(F)C=CC(CS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, New ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1 
Step: ['switch'], Previous ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, New ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1 
Step: ['move_junction'], Previous ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, Changed ligand: N=[SH]SSCC1=CCC(CF)=CC=C1, New ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1 
Step: ['remove'], Previous ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CSSN)=CC1, New ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1 
Step: ['switch'], Previous ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CSSO[SH]=N)=CC1, New ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CS[SH](C)[SH]=N)=CC1, New ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1 
Step: ['change type'], Previous ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, Changed ligand: CC1=C(F)N=CC(CSS[SH]=N)=CC1, New ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1 
Step: ['change type'], Previous ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, New ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1 
Step: ['move_junction'], Previous ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, New ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1 
Step: ['switch'], Previous ligand: CC1=C(F)C=CC(CSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1, New ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(C(N)CSS[SH]=N)=CC1, New ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1 
Step: ['move_junction'], Previous ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C(CCSS[SH]=N)=CC=CC1, New ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CCSS[SH]=NN)=CC1, New ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CCSS[SH]=N)=C(S)C1, New ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1 
