Molecule: ./Bromo/rand_p5 
Step: add fragment, Previous ligand: [1*]C(=O)C(C)(C)C([8*])[8*], New ligand: [1*]C(=O)CS(=O)(=O)c1cn(C([8*])C(C)(C)C([1*])=O)c2ccccc12, Score: tensor([0.8113]) 
Step: add fragment, Previous ligand: [1*]C(=O)CS(=O)(=O)c1cn(C([8*])C(C)(C)C([1*])=O)c2ccccc12, New ligand: [1*]C(=O)CS(=O)(=O)c1cn(C(c2c(F)cc([16*])cc2Cl)C(C)(C)C([1*])=O)c2ccccc12, Score: tensor([0.6352]) 
Step: remove fragment, Previous ligand: [1*]C(=O)CS(=O)(=O)c1cn(C(c2c(F)cc([16*])cc2Cl)C(C)(C)C([1*])=O)c2ccccc12, New ligand: [1*]C(=O)CS(=O)(=O)c1cn(C(c2c(F)cc([16*])cc2Cl)C(C)(C)C([1*])=O)c2ccccc12, Score: tensor([0.6352]) 
Step: add fragment, Previous ligand: [1*]C(=O)CS(=O)(=O)c1cn(C(c2c(F)cc([16*])cc2Cl)C(C)(C)C([1*])=O)c2ccccc12, New ligand: [1*]C(=O)C(C)(C)C(c1c(F)cc([16*])cc1Cl)n1cc(S(=O)(=O)CC(=O)N([5*])[5*])c2ccccc21, Score: tensor([0.6527]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C(C)(C)C(c1c(F)cc([16*])cc1Cl)n1cc(S(=O)(=O)CC(=O)N([5*])[5*])c2ccccc21, New ligand: [5*]N([5*])[5*], Score: tensor([0.3642]) 
Step: remove fragment, Previous ligand: [5*]N([5*])[5*], New ligand: [5*]N([5*])[5*], Score: tensor([0.3642]) 
Step: add fragment, Previous ligand: [5*]N([5*])[5*], New ligand: [5*]N([5*])C(=O)C[8*], Score: tensor([0.4374]) 
Step: remove fragment, Previous ligand: [5*]N([5*])C(=O)C[8*], New ligand: [1*]C(=O)C[8*], Score: tensor([0.4033]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[8*], New ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.7569]) 
Step: remove fragment, Previous ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.7569]) 
Step: remove fragment, Previous ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.7569]) 
Step: add fragment, Previous ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.7569]) 
Step: remove fragment, Previous ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.7569]) 
Step: remove fragment, Previous ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.7569]) 
Step: add fragment, Previous ligand: [1*]C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [5*]N([5*])C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.7166]) 
Step: add fragment, Previous ligand: [5*]N([5*])C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [5*]N([5*])C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.7166]) 
Step: remove fragment, Previous ligand: [5*]N([5*])C(=O)Cc1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.6118]) 
