Molecule: ./Bromo/random_a2 
Step: add fragment, Previous ligand: [1*]C(=O)CC, New ligand: CCC(=O)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8130]) 
Step: remove fragment, Previous ligand: CCC(=O)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8770]) 
Step: remove fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8770]) 
Step: remove fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8770]) 
Step: add fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: Nc1nccc(N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)n1, Score: tensor([0.6657]) 
Step: remove fragment, Previous ligand: Nc1nccc(N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)n1, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8762]) 
Step: add fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [14*]c1nnc(N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)s1, Score: tensor([0.6851]) 
Step: add fragment, Previous ligand: [14*]c1nnc(N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)s1, New ligand: [14*]c1nnc(N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)s1, Score: tensor([0.6851]) 
Step: add fragment, Previous ligand: [14*]c1nnc(N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)s1, New ligand: O=C(N/N=C/c1cc(Br)c(O)c(Br)c1O)c1nnc(N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)s1, Score: tensor([0.8017]) 
Step: remove fragment, Previous ligand: O=C(N/N=C/c1cc(Br)c(O)c(Br)c1O)c1nnc(N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)s1, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8763]) 
Step: add fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8763]) 
