Molecule: ./no_chain/2yek 
Step: add fragment, Previous ligand: [4*]CC, New ligand: [5*]NCC, Score: tensor([0.4037]) 
Step: add fragment, Previous ligand: [5*]NCC, New ligand: CCNCC, Score: tensor([0.4019]) 
Step: remove fragment, Previous ligand: CCNCC, New ligand: [5*]NCC, Score: tensor([0.4064]) 
Step: remove fragment, Previous ligand: [5*]NCC, New ligand: [5*]NCC, Score: tensor([0.4064]) 
Step: add fragment, Previous ligand: [5*]NCC, New ligand: CCNCC, Score: tensor([0.4019]) 
Step: remove fragment, Previous ligand: CCNCC, New ligand: [4*]CC, Score: tensor([0.3637]) 
Step: add fragment, Previous ligand: [4*]CC, New ligand: [5*]NCC, Score: tensor([0.4039]) 
Step: remove fragment, Previous ligand: [5*]NCC, New ligand: [4*]CC, Score: tensor([0.3638]) 
Step: remove fragment, Previous ligand: [4*]CC, New ligand: [4*]CC, Score: tensor([0.3638]) 
Step: remove fragment, Previous ligand: [4*]CC, New ligand: [4*]CC, Score: tensor([0.3638]) 
Step: remove fragment, Previous ligand: [4*]CC, New ligand: [4*]CC, Score: tensor([0.3638]) 
Step: add fragment, Previous ligand: [4*]CC, New ligand: CCOC, Score: tensor([0.3923]) 
Step: remove fragment, Previous ligand: CCOC, New ligand: [4*]CC, Score: tensor([0.3636]) 
Step: add fragment, Previous ligand: [4*]CC, New ligand: [5*]NCC, Score: tensor([0.4068]) 
Step: add fragment, Previous ligand: [5*]NCC, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, Score: tensor([0.9119]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, Score: tensor([0.9119]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, New ligand: [5*]Nc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, Score: tensor([0.9093]) 
Step: remove fragment, Previous ligand: [5*]Nc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, New ligand: [5*]Nc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, Score: tensor([0.9093]) 
Step: add fragment, Previous ligand: [5*]Nc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, New ligand: [5*]Nc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, Score: tensor([0.9093]) 
Step: add fragment, Previous ligand: [5*]Nc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, Score: tensor([0.9055]) 
Step: remove fragment, Previous ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, Score: tensor([0.9055]) 
Step: remove fragment, Previous ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, Score: tensor([0.9055]) 
Step: remove fragment, Previous ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, Score: tensor([0.9055]) 
Step: remove fragment, Previous ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, Score: tensor([0.9055]) 
Step: remove fragment, Previous ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, Score: tensor([0.9055]) 
Step: remove fragment, Previous ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, Score: tensor([0.9055]) 
Step: remove fragment, Previous ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, Score: tensor([0.9055]) 
Step: remove fragment, Previous ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, Score: tensor([0.9138]) 
Step: add fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NCC)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4cc(NCC)ccc4-n4c(C)nnc43)ccc2-n2c(C)nnc21, Score: tensor([0.8433]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4cc(NCC)ccc4-n4c(C)nnc43)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4cc(NCC)ccc4-n4c(C)nnc43)ccc2-n2c(C)nnc21, Score: tensor([0.8433]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4cc(NCC)ccc4-n4c(C)nnc43)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4cc([16*])ccc4-n4c(C)nnc43)ccc2-n2c(C)nnc21, Score: tensor([0.8546]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4cc([16*])ccc4-n4c(C)nnc43)ccc2-n2c(C)nnc21, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc3c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-3)c1nnc(C)n1-2, Score: tensor([0.8571]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc3c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-3)c1nnc(C)n1-2, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, Score: tensor([0.9041]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, Score: tensor([0.9041]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, Score: tensor([0.9041]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, Score: tensor([0.9041]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, Score: tensor([0.9041]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, Score: tensor([0.9006]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, Score: tensor([0.9006]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, Score: tensor([0.9039]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, Score: tensor([0.9061]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, New ligand: COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9053]) 
Step: remove fragment, Previous ligand: COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, Score: tensor([0.9058]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, Score: tensor([0.9039]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, Score: tensor([0.9060]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, Score: tensor([0.9041]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, Score: tensor([0.9183]) 
