Molecule: ./no_chain/6fnx 
Step: remove fragment, Previous ligand: [8*]CC, New ligand: [8*]CC, Score: tensor([0.3636]) 
Step: remove fragment, Previous ligand: [8*]CC, New ligand: [8*]CC, Score: tensor([0.3636]) 
Step: remove fragment, Previous ligand: [8*]CC, New ligand: [8*]CC, Score: tensor([0.3636]) 
Step: remove fragment, Previous ligand: [8*]CC, New ligand: [8*]CC, Score: tensor([0.3636]) 
Step: add fragment, Previous ligand: [8*]CC, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2CC, Score: tensor([0.8755]) 
Step: remove fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2CC, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2CC, Score: tensor([0.8755]) 
Step: add fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2CC, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2CC, Score: tensor([0.8983]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2CC, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2CC, Score: tensor([0.8983]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2CC, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2CC, Score: tensor([0.8983]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2CC, New ligand: [8*]CC, Score: tensor([0.3640]) 
Step: remove fragment, Previous ligand: [8*]CC, New ligand: [8*]CC, Score: tensor([0.3640]) 
Step: add fragment, Previous ligand: [8*]CC, New ligand: CCc1ccccc1, Score: tensor([0.4592]) 
Step: remove fragment, Previous ligand: CCc1ccccc1, New ligand: CCc1ccccc1, Score: tensor([0.4592]) 
Step: remove fragment, Previous ligand: CCc1ccccc1, New ligand: CCc1ccccc1, Score: tensor([0.4592]) 
Step: remove fragment, Previous ligand: CCc1ccccc1, New ligand: CCc1ccccc1, Score: tensor([0.4592]) 
Step: remove fragment, Previous ligand: CCc1ccccc1, New ligand: [16*]c1ccccc1, Score: tensor([0.3986]) 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: [8*]Cc1ccccc1, Score: tensor([0.4877]) 
Step: add fragment, Previous ligand: [8*]Cc1ccccc1, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.9151]) 
Step: add fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [8*]Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.9147]) 
Step: add fragment, Previous ligand: [8*]Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.8642]) 
Step: add fragment, Previous ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.8821]) 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.8821]) 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2CC, Score: tensor([0.8391]) 
Step: remove fragment, Previous ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2CC, New ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2CC, Score: tensor([0.8391]) 
Step: add fragment, Previous ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2CC, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.8820]) 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [8*]Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.9151]) 
Step: remove fragment, Previous ligand: [8*]Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [8*]Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.9151]) 
Step: add fragment, Previous ligand: [8*]Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.8933]) 
Step: remove fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.8933]) 
