Molecule: ./Serine/specific_frags_0.txt 
Step: remove fragment, Previous ligand: [16*]c1ccc(C#N)cc1, New ligand: [16*]c1ccc(C#N)cc1, Score: tensor([0.5455]) 
Step: add fragment, Previous ligand: [16*]c1ccc(C#N)cc1, New ligand: N#Cc1ccc(-c2ccccc2)cc1, Score: tensor([0.6466]) 
Step: remove fragment, Previous ligand: N#Cc1ccc(-c2ccccc2)cc1, New ligand: [16*]c1ccc(C#N)cc1, Score: tensor([0.5472]) 
Step: add fragment, Previous ligand: [16*]c1ccc(C#N)cc1, New ligand: [16*]c1ccc2c(-c3ccc(C#N)cc3)n[nH]c2c1, Score: tensor([0.7859]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(-c3ccc(C#N)cc3)n[nH]c2c1, New ligand: [16*]c1ccc2c(-c3ccc(C#N)cc3)n[nH]c2c1, Score: tensor([0.7859]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(-c3ccc(C#N)cc3)n[nH]c2c1, New ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccco4)ccc23)cc1, Score: tensor([0.7113]) 
Step: remove fragment, Previous ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccco4)ccc23)cc1, New ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccco4)ccc23)cc1, Score: tensor([0.7113]) 
Step: remove fragment, Previous ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccco4)ccc23)cc1, New ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccco4)ccc23)cc1, Score: tensor([0.7113]) 
Step: remove fragment, Previous ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccco4)ccc23)cc1, New ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccco4)ccc23)cc1, Score: tensor([0.7113]) 
Step: remove fragment, Previous ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccco4)ccc23)cc1, New ligand: [16*]c1ccc2c(-c3ccc(C#N)cc3)n[nH]c2c1, Score: tensor([0.7885]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(-c3ccc(C#N)cc3)n[nH]c2c1, New ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccccc4O)ccc23)cc1, Score: tensor([0.7286]) 
Step: remove fragment, Previous ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccccc4O)ccc23)cc1, New ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccccc4O)ccc23)cc1, Score: tensor([0.7286]) 
Step: remove fragment, Previous ligand: N#Cc1ccc(-c2n[nH]c3cc(-c4ccccc4O)ccc23)cc1, New ligand: [14*]c1n[nH]c2cc(-c3ccccc3O)ccc12, Score: tensor([0.6907]) 
Step: remove fragment, Previous ligand: [14*]c1n[nH]c2cc(-c3ccccc3O)ccc12, New ligand: [14*]c1n[nH]c2cc(-c3ccccc3O)ccc12, Score: tensor([0.6907]) 
Step: add fragment, Previous ligand: [14*]c1n[nH]c2cc(-c3ccccc3O)ccc12, New ligand: C[C@H]1CN(c2n[nH]c3cc(-c4ccccc4O)ccc23)C[C@@H]([NH3+])[C@@H]1O, Score: tensor([0.7669]) 
Step: remove fragment, Previous ligand: C[C@H]1CN(c2n[nH]c3cc(-c4ccccc4O)ccc23)C[C@@H]([NH3+])[C@@H]1O, New ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, Score: tensor([0.7904]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, New ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, Score: tensor([0.7904]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, New ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, Score: tensor([0.7904]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, New ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, Score: tensor([0.7904]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, New ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, Score: tensor([0.7904]) 
