Molecule: ./Results/3iw7 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.11574626865671642 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: [15*]C1CCN(c2ccccc2)CC1, Score: 0.37692789968652035 
Step: add fragment, Previous ligand: [15*]C1CCN(c2ccccc2)CC1, New ligand: [15*]C1CCN(C2CCN(c3ccccc3)CC2)CC1, Score: 0.4162014230979748 
Step: add fragment, Previous ligand: [15*]C1CCN(C2CCN(c3ccccc3)CC2)CC1, New ligand: [15*]C1CCN(C2CCN(C3CCN(c4ccccc4)CC3)CC2)CC1, Score: 0.37123700378071833 
Step: remove fragment, Previous ligand: [15*]C1CCN(C2CCN(C3CCN(c4ccccc4)CC3)CC2)CC1, New ligand: [5*]N1CCC(N2CCC([15*])CC2)CC1, Score: 0.13070980743394536 
Step: add fragment, Previous ligand: [5*]N1CCC(N2CCC([15*])CC2)CC1, New ligand: [5*]N1CCC(N2CCC(N3CCC([15*])CC3)CC2)CC1, Score: 0.1413793103448276 
Step: remove fragment, Previous ligand: [5*]N1CCC(N2CCC(N3CCC([15*])CC3)CC2)CC1, New ligand: [5*]N1CCC(N2CCC(N3CCC([15*])CC3)CC2)CC1, Score: 0.1413793103448276 
Step: add fragment, Previous ligand: [5*]N1CCC(N2CCC(N3CCC([15*])CC3)CC2)CC1, New ligand: [15*]C1CCN(C2CCN(C3CCN(c4ccc([16*])cc4)CC3)CC2)CC1, Score: 0.37123700378071833 
Step: add fragment, Previous ligand: [15*]C1CCN(C2CCN(C3CCN(c4ccc([16*])cc4)CC3)CC2)CC1, New ligand: [15*]C1CCN(C2CCN(C3CCN(c4ccc(-c5ccccc5)cc4)CC3)CC2)CC1, Score: 0.3463064295485636 
Step: remove fragment, Previous ligand: [15*]C1CCN(C2CCN(C3CCN(c4ccc(-c5ccccc5)cc4)CC3)CC2)CC1, New ligand: [5*]N1CCC(N2CCC([15*])CC2)CC1, Score: 0.13070980743394536 
Step: remove fragment, Previous ligand: [5*]N1CCC(N2CCC([15*])CC2)CC1, New ligand: [5*]N1CCC(N2CCC([15*])CC2)CC1, Score: 0.13070980743394536 
Step: add fragment, Previous ligand: [5*]N1CCC(N2CCC([15*])CC2)CC1, New ligand: [5*]N1CCC(N2CCC(CS)CC2)CC1, Score: 0.1688333968738086 
Step: remove fragment, Previous ligand: [5*]N1CCC(N2CCC(CS)CC2)CC1, New ligand: [5*]N1CCC(CS)CC1, Score: 0.12890619754246962 
Step: remove fragment, Previous ligand: [5*]N1CCC(CS)CC1, New ligand: [5*]N1CCC(CS)CC1, Score: 0.12890619754246962 
Step: remove fragment, Previous ligand: [5*]N1CCC(CS)CC1, New ligand: [5*]N1CCC(CS)CC1, Score: 0.12890619754246962 
Step: remove fragment, Previous ligand: [5*]N1CCC(CS)CC1, New ligand: [5*]N1CCC(CS)CC1, Score: 0.12890619754246962 
Step: remove fragment, Previous ligand: [5*]N1CCC(CS)CC1, New ligand: [5*]N1CCC(CS)CC1, Score: 0.12890619754246962 
Step: add fragment, Previous ligand: [5*]N1CCC(CS)CC1, New ligand: [6*]C(=O)N1CCC(CS)CC1, Score: 0.2588289747743578 
Step: add fragment, Previous ligand: [6*]C(=O)N1CCC(CS)CC1, New ligand: O=C(c1ccccc1)N1CCC(CS)CC1, Score: 0.5746628786363092 
Step: remove fragment, Previous ligand: O=C(c1ccccc1)N1CCC(CS)CC1, New ligand: O=C(c1ccccc1)N1CCC(CS)CC1, Score: 0.5746628786363092 
Step: remove fragment, Previous ligand: O=C(c1ccccc1)N1CCC(CS)CC1, New ligand: O=C(c1ccccc1)N1CCC(CS)CC1, Score: 0.5746628786363092 
Step: remove fragment, Previous ligand: O=C(c1ccccc1)N1CCC(CS)CC1, New ligand: O=C(c1ccccc1)N1CCC(CS)CC1, Score: 0.5746628786363092 
