Molecule: ./Results/4a9i 
Step: remove fragment, Previous ligand: [14*]c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: remove fragment, Previous ligand: [14*]c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: remove fragment, Previous ligand: [14*]c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: remove fragment, Previous ligand: [14*]c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: add fragment, Previous ligand: [14*]c1ccccn1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: add fragment, Previous ligand: [14*]c1ccccn1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: add fragment, Previous ligand: [14*]c1ccccn1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: c1ccc(-c2ccccn2)nc1, Score: 0.4980022831050228 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccn2)nc1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: remove fragment, Previous ligand: [14*]c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: remove fragment, Previous ligand: [14*]c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: remove fragment, Previous ligand: [14*]c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: add fragment, Previous ligand: [14*]c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: remove fragment, Previous ligand: [14*]c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: add fragment, Previous ligand: [14*]c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: remove fragment, Previous ligand: [14*]c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: add fragment, Previous ligand: [14*]c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: [14*]c1ccccn1, Score: 0.17325581395348835 
Step: add fragment, Previous ligand: [14*]c1ccccn1, New ligand: CC(=O)c1ccccn1, Score: 0.36658008658008656 
Step: remove fragment, Previous ligand: CC(=O)c1ccccn1, New ligand: [6*]C(C)=O, Score: 0.021538461538461538 
Step: remove fragment, Previous ligand: [6*]C(C)=O, New ligand: [6*]C(C)=O, Score: 0.021538461538461538 
Step: remove fragment, Previous ligand: [6*]C(C)=O, New ligand: [6*]C(C)=O, Score: 0.021538461538461538 
Step: remove fragment, Previous ligand: [6*]C(C)=O, New ligand: [6*]C(C)=O, Score: 0.021538461538461538 
Step: remove fragment, Previous ligand: [6*]C(C)=O, New ligand: [6*]C(C)=O, Score: 0.021538461538461538 
Step: add fragment, Previous ligand: [6*]C(C)=O, New ligand: [16*]c1cc(C(C)=O)n2ccccc12, Score: 0.5788251683306246 
Step: remove fragment, Previous ligand: [16*]c1cc(C(C)=O)n2ccccc12, New ligand: [16*]c1cc(C(C)=O)n2ccccc12, Score: 0.5788251683306246 
Step: add fragment, Previous ligand: [16*]c1cc(C(C)=O)n2ccccc12, New ligand: [16*]c1cc(-c2cc(C(C)=O)n3ccccc23)n2ccccc12, Score: 0.7460219563340323 
Step: add fragment, Previous ligand: [16*]c1cc(-c2cc(C(C)=O)n3ccccc23)n2ccccc12, New ligand: CC(=O)c1cc(-c2cc(-c3ccccn3)c3ccccn23)c2ccccn12, Score: 0.6252935420743639 
Step: remove fragment, Previous ligand: CC(=O)c1cc(-c2cc(-c3ccccn3)c3ccccn23)c2ccccn12, New ligand: [14*]c1cc(-c2ccccn2)c2ccccn12, Score: 0.7213877239801754 
Step: remove fragment, Previous ligand: [16*]c1cc(-c2cc(C(C)=O)n3ccccc23)n2ccccc12, New ligand: [14*]c1cc(-c2cc([16*])c3ccccn23)c2ccccn12, Score: 0.6360531309297912 
Step: add fragment, Previous ligand: [14*]c1cc(-c2cc([16*])c3ccccn23)c2ccccn12, New ligand: [14*]c1cc(-c2cc([16*])c3ccccn23)c2ccccn12, Score: 0.6360531309297912 
