Molecule: ./Results/4lzs_n10 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [14*]c1[nH]c(C)c([16*])c1NC, Score: 0.22800751879699246 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1NC, New ligand: [16*]c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5085227272727273 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5622276970954356 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5687979539641943 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5687979539641943 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5687979539641943 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5687979539641943 
Step: add fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5687979539641943 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5687979539641943 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5622276970954356 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5687979539641943 
Step: add fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [14*]c1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5358823529411765 
