Molecule: ./Results/4lzs_n2 
Step: remove fragment, Previous ligand: [5*]NC, New ligand: [5*]NC, Score: 0.01212121212121212 
Step: remove fragment, Previous ligand: [5*]NC, New ligand: [5*]NC, Score: 0.01212121212121212 
Step: remove fragment, Previous ligand: [5*]NC, New ligand: [5*]NC, Score: 0.01212121212121212 
Step: remove fragment, Previous ligand: [5*]NC, New ligand: [5*]NC, Score: 0.01212121212121212 
Step: remove fragment, Previous ligand: [5*]NC, New ligand: [5*]NC, Score: 0.01212121212121212 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: remove fragment, Previous ligand: [6*]C(=O)NC, New ligand: [1*]C([6*])=O, Score: 0.00606060606060606 
Step: remove fragment, Previous ligand: [1*]C([6*])=O, New ligand: [1*]C([6*])=O, Score: 0.00606060606060606 
Step: add fragment, Previous ligand: [1*]C([6*])=O, New ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1[16*], Score: 0.17687218045112782 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c([14*])c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1[16*], Score: 0.06277777777777778 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1[16*], New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c([14*])c2[16*])c1[16*], Score: 0.30643274853801167 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c([14*])c2[16*])c1[16*], New ligand: [1*]C(=O)c1c([14*])[nH]c(C)c1-c1c(C)[nH]c([14*])c1[16*], Score: 0.41903589021815624 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c([14*])[nH]c(C)c1-c1c(C)[nH]c([14*])c1[16*], New ligand: [1*]C([6*])=O, Score: 0.00606060606060606 
Step: remove fragment, Previous ligand: [1*]C([6*])=O, New ligand: [1*]C([6*])=O, Score: 0.00606060606060606 
Step: add fragment, Previous ligand: [1*]C([6*])=O, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: remove fragment, Previous ligand: [6*]C(=O)NC, New ligand: [5*]NC, Score: 0.01212121212121212 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: add fragment, Previous ligand: [6*]C(=O)NC, New ligand: [14*]c1[nH]c(C)c([16*])c1C(=O)NC, Score: 0.3572830188679245 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1C(=O)NC, New ligand: [14*]c1[nH]c(C)c([16*])c1[16*], Score: 0.06277777777777778 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1[16*], Score: 0.06277777777777778 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1[16*], Score: 0.06277777777777778 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1[16*], Score: 0.06277777777777778 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1C(C)=O, Score: 0.3040851063829787 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1C(C)=O, New ligand: [14*]c1[nH]c(C)c([16*])c1C(C)=O, Score: 0.3040851063829787 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1C(C)=O, New ligand: [16*]c1c(C)[nH]c(C(C)=O)c1C(C)=O, Score: 0.5686234817813764 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(C(C)=O)c1C(C)=O, New ligand: [16*]c1c(C)[nH]c(C(C)=O)c1C(C)=O, Score: 0.5686234817813764 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(C(C)=O)c1C(C)=O, New ligand: CNc1c(C)[nH]c(C(C)=O)c1C(C)=O, Score: 0.7138589981447124 
Step: remove fragment, Previous ligand: CNc1c(C)[nH]c(C(C)=O)c1C(C)=O, New ligand: CNc1c(C)[nH]c(C(C)=O)c1C(C)=O, Score: 0.7138589981447124 
Step: remove fragment, Previous ligand: CNc1c(C)[nH]c(C(C)=O)c1C(C)=O, New ligand: [6*]C(C)=O, Score: 0.033333333333333326 
Step: add fragment, Previous ligand: [6*]C(C)=O, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], Score: 0.33283270755110556 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], New ligand: [16*]c1c(NC)[nH]c(C)c1C(C)=O, Score: 0.5009090909090909 
Step: remove fragment, Previous ligand: [16*]c1c(NC)[nH]c(C)c1C(C)=O, New ligand: [16*]c1c(NC)[nH]c(C)c1C(C)=O, Score: 0.5009090909090909 
Step: add fragment, Previous ligand: [16*]c1c(NC)[nH]c(C)c1C(C)=O, New ligand: CNc1[nH]c(C)c(C(C)=O)c1C(C)=O, Score: 0.7032345013477089 
Step: remove fragment, Previous ligand: CNc1[nH]c(C)c(C(C)=O)c1C(C)=O, New ligand: CNc1[nH]c(C)c(C(C)=O)c1C(C)=O, Score: 0.7032345013477089 
Step: remove fragment, Previous ligand: CNc1[nH]c(C)c(C(C)=O)c1C(C)=O, New ligand: [6*]C(C)=O, Score: 0.033333333333333326 
Step: add fragment, Previous ligand: [6*]C(C)=O, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], Score: 0.33283270755110556 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1C(C)=O, Score: 0.5935222672064777 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1C(C)=O, New ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(C)=O, Score: 0.6334733893557424 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(C)=O, New ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(C)=O, Score: 0.6334733893557424 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(C)=O, New ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1C(C)=O, Score: 0.46824074074074074 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1C(C)=O, New ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1C(C)=O, Score: 0.689157319528329 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c([16*])c1C(C)=O, Score: 0.3040851063829787 
