Molecule: ./Results/4lzs_p3 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: remove fragment, Previous ligand: [6*]C(=O)NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: add fragment, Previous ligand: [6*]C(=O)NC, New ligand: [14*]c1[nH]c(C)c([16*])c1C(=O)NC, Score: 0.3572830188679245 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1C(=O)NC, New ligand: [1*]C(=O)c1c([14*])[nH]c(C)c1[16*], Score: 0.1868958109559613 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c([14*])[nH]c(C)c1[16*], New ligand: [1*]C(=O)c1c([14*])[nH]c(C)c1[16*], Score: 0.1868958109559613 
Step: add fragment, Previous ligand: [1*]C(=O)c1c([14*])[nH]c(C)c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1C(=O)NC, Score: 0.3572830188679245 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1C(=O)NC, New ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1C(=O)NC, Score: 0.49122807017543857 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1C(=O)NC, New ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.6838095238095239 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.6838095238095239 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.6838095238095239 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7283639596917605 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7283639596917605 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7283639596917605 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: [1*]C(=O)c1c(C(=O)NC)[nH]c(C)c1C(C)=O, Score: 0.7602905569007263 
Step: add fragment, Previous ligand: [1*]C(=O)c1c(C(=O)NC)[nH]c(C)c1C(C)=O, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7283639596917605 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7283639596917605 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7283639596917605 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7283639596917605 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7283639596917605 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.6596491228070175 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CNC(=O)c1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.715 
Step: remove fragment, Previous ligand: CNC(=O)c1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: [16*]c1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.5791497975708502 
Step: add fragment, Previous ligand: [16*]c1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: CNc1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.7634137291280149 
Step: remove fragment, Previous ligand: CNc1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: CNc1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.7634137291280149 
Step: remove fragment, Previous ligand: CNc1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: CNc1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.7634137291280149 
Step: remove fragment, Previous ligand: CNc1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: CNc1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.7634137291280149 
Step: remove fragment, Previous ligand: CNc1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: [16*]c1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.5791497975708502 
Step: add fragment, Previous ligand: [16*]c1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.547807853602745 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: [16*]c1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.5791497975708502 
Step: add fragment, Previous ligand: [16*]c1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.547807853602745 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.5635835351089589 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.5635835351089589 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.5635835351089589 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, New ligand: CCc1[nH]c(C)c(NC)c1-c1c(C(C)=O)[nH]c(C)c1C(C)=O, Score: 0.5672077922077922 
