Molecule: ./Results/4lzs_p5 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [14*]c1[nH]c(C)c([16*])c1NC, Score: 0.22800751879699246 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1NC, New ligand: [14*]c1[nH]c(C)c([16*])c1NC, Score: 0.22800751879699246 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1NC, New ligand: [14*]c1[nH]c(C)c([16*])c1NC, Score: 0.22800751879699246 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1NC, New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c([14*])c2NC)c1[16*], Score: 0.45619405656999645 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c([14*])c2NC)c1[16*], New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(CC)c2[16*])c1NC, Score: 0.5427096774193549 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(CC)c2[16*])c1NC, New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c([14*])c2NC)c1[16*], Score: 0.45619405656999645 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c([14*])c2NC)c1[16*], New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c([14*])c2NC)c1[16*], Score: 0.45619405656999645 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c([14*])c2NC)c1[16*], New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c([14*])c2[16*])c1[16*], Score: 0.30643274853801167 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c([14*])c2[16*])c1[16*], New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(NC)c2[16*])c1[16*], Score: 0.4356605800214823 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(NC)c2[16*])c1[16*], New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(NC)c2[16*])c1[16*], Score: 0.4356605800214823 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(NC)c2[16*])c1[16*], New ligand: [16*]c1c(C)[nH]c(NC)c1[16*], Score: 0.20510651629072682 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(NC)c1[16*], New ligand: [16*]c1c(C)[nH]c(NC)c1CC, Score: 0.41350943396226414 
