Molecule: ./Results/5mky 
Step: remove fragment, Previous ligand: [5*]N[5*], New ligand: [5*]N[5*], Score: 0.0 
Step: remove fragment, Previous ligand: [5*]N[5*], New ligand: [5*]N[5*], Score: 0.0 
Step: remove fragment, Previous ligand: [5*]N[5*], New ligand: [5*]N[5*], Score: 0.0 
Step: remove fragment, Previous ligand: [5*]N[5*], New ligand: [5*]N[5*], Score: 0.0 
Step: remove fragment, Previous ligand: [5*]N[5*], New ligand: [5*]N[5*], Score: 0.0 
Step: remove fragment, Previous ligand: [5*]N[5*], New ligand: [5*]N[5*], Score: 0.0 
Step: add fragment, Previous ligand: [5*]N[5*], New ligand: [5*]Nc1cccc2c1CC[N@H+](C)C2, Score: 0.46188207266229897 
Step: add fragment, Previous ligand: [5*]Nc1cccc2c1CC[N@H+](C)C2, New ligand: C[N@H+]1CCc2c(cccc2Nc2cccc3c2CC[N@H+](C)C3)C1, Score: 0.5849629326951141 
Step: remove fragment, Previous ligand: C[N@H+]1CCc2c(cccc2Nc2cccc3c2CC[N@H+](C)C3)C1, New ligand: [5*]Nc1cccc2c1CC[N@H+](C)C2, Score: 0.46188207266229897 
Step: remove fragment, Previous ligand: [5*]Nc1cccc2c1CC[N@H+](C)C2, New ligand: [5*]Nc1cccc2c1CC[N@H+](C)C2, Score: 0.46188207266229897 
Step: remove fragment, Previous ligand: [5*]Nc1cccc2c1CC[N@H+](C)C2, New ligand: [5*]Nc1cccc2c1CC[N@H+](C)C2, Score: 0.46188207266229897 
Step: remove fragment, Previous ligand: [5*]Nc1cccc2c1CC[N@H+](C)C2, New ligand: [5*]Nc1cccc2c1CC[N@H+](C)C2, Score: 0.46188207266229897 
Step: add fragment, Previous ligand: [5*]Nc1cccc2c1CC[N@H+](C)C2, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
Step: remove fragment, Previous ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, New ligand: Cn1ncc(Nc2cccc3c2CC[N@H+](C)C3)c(Cl)c1=O, Score: 1.0 
