Molecule: ./Results/5uf0 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.1776470588235294 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: c1ccc(-c2ccccc2)cc1, Score: 0.407741935483871 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccc2)cc1, New ligand: c1ccc(-c2ccccc2)cc1, Score: 0.407741935483871 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccc2)cc1, New ligand: [16*]c1ccccc1, Score: 0.1776470588235294 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: [5*]NC, Score: 0.005882352941176469 
Step: add fragment, Previous ligand: [5*]NC, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.1776470588235294 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.1776470588235294 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.1776470588235294 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.1776470588235294 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: CNc1ccccc1, Score: 0.3484984984984985 
Step: remove fragment, Previous ligand: CNc1ccccc1, New ligand: [5*]NC, Score: 0.005882352941176469 
Step: remove fragment, Previous ligand: [5*]NC, New ligand: [5*]NC, Score: 0.005882352941176469 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [14*]c1nn(C)c(=O)cc1NC, Score: 0.4919191919191919 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1NC, New ligand: [14*]c1nn(C)c(=O)cc1NC, Score: 0.4919191919191919 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1NC, New ligand: [14*]c1nn(C)c(=O)cc1[16*], Score: 0.3034054054054054 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1[16*], New ligand: [16*]c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], Score: 0.5994999999999999 
Step: add fragment, Previous ligand: [16*]c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], New ligand: [16*]c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1NC, Score: 0.6708259482453031 
Step: remove fragment, Previous ligand: [16*]c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1NC, New ligand: [14*]c1nn(C)c(=O)cc1[16*], Score: 0.3034054054054054 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1[16*], Score: 0.3034054054054054 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1[16*], Score: 0.3034054054054054 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1[16*], Score: 0.3034054054054054 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1[16*], New ligand: [16*]c1cc(=O)n(C)nc1NC, Score: 0.3865319865319865 
Step: remove fragment, Previous ligand: [16*]c1cc(=O)n(C)nc1NC, New ligand: [16*]c1cc(=O)n(C)nc1NC, Score: 0.3865319865319865 
Step: remove fragment, Previous ligand: [16*]c1cc(=O)n(C)nc1NC, New ligand: [14*]c1nn(C)c(=O)cc1[16*], Score: 0.3034054054054054 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, Score: 0.7599193548387096 
Step: remove fragment, Previous ligand: CNc1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.6785037237643873 
